number_of_inoculated_wells,inoculum,p_i,taxon_pure_low
7820,5.0,0.015,1.0
7912,1.0,0.002,2.0
7912,1.27,0.002,1.0
7912,1.96,0.002,1.0
7912,2.0,0.002,1.0
7912,3.0,0.004,1.0
7912,4.0,0.007,1.0
7912,5.0,0.013000000000000001,1.0
8004,1.0,0.002,2.0
8004,1.27,0.002,2.0
8004,1.96,0.002,1.0
8004,2.0,0.002,1.0
8004,3.0,0.004,1.0
8004,4.0,0.007,1.0
8004,5.0,0.014,1.0
8096,1.0,0.002,2.0
8096,1.27,0.002,2.0
8096,1.96,0.002,1.0
8096,2.0,0.002,1.0
8096,3.0,0.004,1.0
8096,4.0,0.007,1.0
8096,5.0,0.014,1.0
8188,1.0,0.002,2.0
8188,1.27,0.002,2.0
8188,1.96,0.002,1.0
8188,2.0,0.002,1.0
8188,3.0,0.004,1.0
8188,4.0,0.006,1.0
8188,5.0,0.015,1.0
8280,1.0,0.002,2.0
8280,1.27,0.002,2.0
8280,1.96,0.002,1.0
8280,2.0,0.002,1.0
8280,3.0,0.004,1.0
8280,4.0,0.006,1.0
8280,5.0,0.012,1.0
8372,1.0,0.002,2.0
8372,1.27,0.002,2.0
8372,1.96,0.002,1.0
8372,2.0,0.002,1.0
8372,3.0,0.003,1.0
8372,4.0,0.006,1.0
8372,5.0,0.013000000000000001,1.0
8464,1.0,0.002,2.0
8464,1.27,0.002,2.0
8464,1.96,0.002,1.0
8464,2.0,0.002,1.0
8464,3.0,0.003,1.0
8464,4.0,0.006,1.0
8464,5.0,0.013000000000000001,1.0
8556,1.0,0.002,2.0
8556,1.27,0.002,2.0
8556,1.96,0.002,1.0
8556,2.0,0.002,1.0
8556,3.0,0.003,1.0
8556,4.0,0.007,1.0
8556,5.0,0.013000000000000001,1.0
8648,1.0,0.002,2.0
8648,1.27,0.002,2.0
8648,1.96,0.002,1.0
8648,2.0,0.002,1.0
8648,3.0,0.003,1.0
8648,4.0,0.006,1.0
8648,5.0,0.012,1.0
8740,1.0,0.002,2.0
8740,1.27,0.002,2.0
8740,1.96,0.002,1.0
8740,2.0,0.002,1.0
8740,3.0,0.003,1.0
8740,4.0,0.006,1.0
8740,5.0,0.012,1.0
8832,1.0,0.002,2.0
8832,1.27,0.002,2.0
8832,1.96,0.002,1.0
8832,2.0,0.002,1.0
8832,3.0,0.003,1.0
8832,4.0,0.006,1.0
8832,5.0,0.014,1.0
8924,1.0,0.002,2.0
8924,1.27,0.002,2.0
8924,1.96,0.002,1.0
8924,2.0,0.002,1.0
8924,3.0,0.003,1.0
8924,4.0,0.007,1.0
8924,5.0,0.013000000000000001,1.0
9016,1.0,0.002,2.0
9016,1.27,0.002,2.0
9016,1.96,0.002,1.0
9016,2.0,0.002,1.0
9016,3.0,0.003,1.0
9016,4.0,0.006,1.0
9016,5.0,0.013000000000000001,1.0
9108,1.0,0.002,2.0
9108,1.27,0.002,2.0
9108,1.96,0.002,1.0
9108,2.0,0.002,1.0
9108,3.0,0.003,1.0
9108,4.0,0.006,1.0
9108,5.0,0.012,1.0
9200,1.0,0.002,2.0
9200,1.27,0.002,2.950000000000003
9200,1.96,0.002,1.0
9200,2.0,0.002,1.0
9200,3.0,0.003,1.0
9200,4.0,0.006,1.0
9200,5.0,0.011,1.0
