ID,Site,cell_counts_per_ml,rel_abund,num_wells_inoculated,num_isolates,cells_per_well
7025,ARD2c,1640000,0.000117737,460,0,2
7025,ARD3,9520000,0.001468347,460,1,2
7025,CJ,8920000,0.0000278,460,0,1.27
7025,CJ2,7730000,0.000201526,460,0,2
7025,CJ3,2720000,2.82E-04,460,0,2
7025,FWC,6303128.794,0.006418524,460,0,2
7025,FWC2,610000,9.23E-04,460,0,2
7025,FWC3,25500000,0.000859583,460,0,2
7025,JLB,11000000,0.00E+00,460,0,1.96
7025,JLB2c,3925000,0.005249712,460,2,2
7025,JLB3,14454000,0.000261241,460,0,2
7025,LKB,11700000,0.006193505,460,0,2
7025,LKB2,10508460,0.003822118,460,5,2
7025,LKB3,25500000,0.003554766,460,0,2
7025,Tbon2,28600000,0.000506215,460,0,2
7025,Tbon3,18200000,0.000251277,460,0,2
7146,ARD2c,1640000,2.35E-04,460,0,2
7146,ARD3,9520000,2.77E-03,460,1,2
7146,CJ,8920000,0.000250257,460,0,1.27
7146,CJ2,7730000,0.001554628,460,0,2
7146,CJ3,2720000,0.0000847,460,0,2
7146,FWC,6303128.794,0.00986773,460,2,2
7146,FWC2,610000,0.000127255,460,0,2
7146,FWC3,25500000,0.002135093,460,1,2
7146,JLB,11000000,0,460,0,1.96
7146,JLB2c,3925000,8.23E-03,460,3,2
7146,JLB3,14454000,0.000232214,460,0,2
7146,LKB,11700000,5.02E-03,460,0,2
7146,LKB2,10508460,0.00588662,460,4,2
7146,LKB3,25500000,2.92E-03,460,1,2
7146,Tbon2,28600000,0.000871815,460,0,2
7146,Tbon3,18200000,0.001395985,460,0,2
3272,ARD2c,1640000,0.000117737,460,0,2
3272,ARD3,9520000,0.005430115,460,0,2
3272,CJ,8920000,0.0000278,460,0,1.27
3272,CJ2,7730000,0.0000288,460,0,2
3272,CJ3,2720000,0,460,0,2
3272,FWC,6303128.794,0.005188807,460,0,2
3272,FWC2,610000,0.00206789,460,0,2
3272,FWC3,25500000,0.000110914,460,0,2
3272,JLB,11000000,0.006227531,460,0,1.96
3272,JLB2c,3925000,0.012857584,460,1,2
3272,JLB3,14454000,0.005311892,460,0,2
3272,LKB,11700000,0,460,0,2
3272,LKB2,10508460,0.0000558,460,0,2
3272,LKB3,25500000,2.42E-03,460,0,2
3272,Tbon2,28600000,0,460,0,2
3272,Tbon3,18200000,0.000223358,460,0,2
5602,ARD2c,1640000,0,460,0,2
5602,ARD3,9520000,0,460,0,2
5602,CJ,8920000,0.000111225,460,0,1.27
5602,CJ2,7730000,0.001007629,460,0,2
5602,CJ3,2720000,0.000451926,460,0,2
5602,FWC,6303128.794,0.001289703,460,0,2
5602,FWC2,610000,0.000190882,460,0,2
5602,FWC3,25500000,0.0000555,460,0,2
5602,JLB,11000000,0.002802389,460,1,1.96
5602,JLB2c,3925000,0.006260352,460,0,2
5602,JLB3,14454000,0.025717686,460,2,2
5602,LKB,11700000,0,460,0,2
5602,LKB2,10508460,0,460,0,2
5602,LKB3,25500000,0.0000278,460,0,2
5602,Tbon2,28600000,0.000478092,460,0,2
5602,Tbon3,18200000,3.35E-04,460,0,2
5507,ARD2c,1640000,0.0000294,460,0,2
5507,ARD3,9520000,0.0000277,460,0,2
5507,CJ,8920000,0.001056642,460,0,1.27
5507,CJ2,7730000,0.002044048,460,0,2
5507,CJ3,2720000,0.001299288,460,0,2
5507,FWC,6303128.794,0.000209952,460,0,2
5507,FWC2,610000,0.001081666,460,0,2
5507,FWC3,25500000,0.000887311,460,0,2
