ID,Site,cell_counts_per_ml,rel_abund,num_wells_inoculated,num_isolates,cells_per_well,num_inoculated_wells,positive_well_med,positive_well_95pc_low,positive_well_95pc_high,taxon_positive_med,taxon_positive_95pc_low,taxon_positive_95pc_high,pure_well_med,pure_well_95pc_low,pure_well_95pc_high,taxon_pure_med,taxon_pure_95pc_low,taxon_pure_95pc_high,within_estimates,deviance,p_value
2825,FWC,6303128.794,9e-05,460,0,2.0,460,398.0,383.0,412.0,0.0,0.0,1.0,124.0,106.0,143.04999999999927,0.0,0.0,0.0,yes,,
2825,FWC2,610000.0,0.000127,460,0,2.0,460,398.0,383.0,412.0,0.0,0.0,1.0,124.0,106.0,143.0,0.0,0.0,0.0,yes,,
2825,FWC3,25500000.0,0.000110914,460,0,2.0,460,398.0,383.0,412.0,0.0,0.0,1.0,124.0,106.0,143.0,0.0,0.0,0.0,yes,,
2825,JLB,11000000.0,0.000820902,460,0,1.96,460,395.0,380.0,409.0,1.0,0.0,3.0,127.0,109.0,147.0,0.0,0.0,1.0,yes,,
2825,JLB2c,3925000.0,0.0037600000000000003,460,1,2.0,460,398.0,383.0,412.0,3.0,0.0,7.0,124.0,106.0,143.0,0.0,0.0,2.0,yes,,
2825,JLB3,14454000.0,0.00595048,460,1,2.0,460,398.0,383.0,412.0,5.0,1.0,10.0,125.0,106.0,143.04999999999927,1.0,0.0,3.0,yes,,
2825,LKB,11700000.0,5.5799999999999994e-05,460,0,2.0,460,398.0,383.0,411.0,0.0,0.0,1.0,124.0,106.0,144.0,0.0,0.0,0.0,yes,,
2825,LKB2,10508460.0,0.0,460,0,2.0,460,398.0,383.0,412.0,0.0,0.0,0.0,124.0,106.0,143.0,0.0,0.0,0.0,yes,,
2825,LKB3,25500000.0,0.000361031,460,0,2.0,460,398.0,383.0,412.0,0.0,0.0,2.0,125.0,106.0,143.0,0.0,0.0,1.0,yes,,
2825,Tbon2,28600000.0,0.0,460,0,2.0,460,398.0,383.0,412.0,0.0,0.0,0.0,125.0,106.0,144.0,0.0,0.0,0.0,yes,,
2825,Tbon3,18200000.0,0.0,460,0,2.0,460,398.0,383.0,412.0,0.0,0.0,0.0,124.0,106.0,143.0,0.0,0.0,0.0,yes,,
2828,ARD2c,1640000.0,8.83e-05,460,0,2.0,460,398.0,383.0,412.0,0.0,0.0,1.0,125.0,106.0,143.0,0.0,0.0,0.0,yes,,
2828,ARD3,9520000.0,0.000748026,460,0,2.0,460,398.0,383.0,412.0,0.0,0.0,3.0,124.0,106.0,143.0,0.0,0.0,1.0,yes,,
2828,CJ,8920000.0,0.0,460,0,1.27,460,331.0,312.0,349.0499999999993,0.0,0.0,0.0,164.0,144.0,184.0,0.0,0.0,0.0,yes,,
2828,CJ2,7730000.0,0.000287894,460,0,2.0,460,398.0,383.0,412.0,0.0,0.0,2.0,125.0,106.0,143.0,0.0,0.0,1.0,yes,,
2828,CJ3,2720000.0,0.0,460,0,2.0,460,398.0,383.0,412.0,0.0,0.0,0.0,124.0,106.0,143.0,0.0,0.0,0.0,yes,,
2828,FWC,6303128.794,0.0,460,0,2.0,460,398.0,383.0,412.0,0.0,0.0,0.0,124.0,107.0,144.0,0.0,0.0,0.0,yes,,
